scheduler,K,seed,n,quorum,surplus,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
uniform-budget-delay,105,41,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,42,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,43,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,44,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,45,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,46,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,47,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,48,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,49,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,50,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,51,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,52,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,53,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,54,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,55,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,56,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,57,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,58,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,59,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,60,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,61,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,62,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,63,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,64,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,65,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,66,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,67,25,13,12,100,256,1,1,1,2,false,false
