scheduler,seed,p,k,steps,timeouts,decisions,retries,max_ballot
prob-interleaved-targeted-budget-delay,188,0.4,40,151,8,1,8,9
prob-interleaved-targeted-budget-delay,189,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,190,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,191,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,192,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,193,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,194,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,195,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,196,0.4,40,151,6,1,6,7
prob-interleaved-targeted-budget-delay,197,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,198,0.4,40,151,8,1,8,9
prob-interleaved-targeted-budget-delay,199,0.4,40,29,0,1,0,0
prob-interleaved-targeted-budget-delay,200,0.4,40,141,7,1,7,8
