scheduler,K,seed,n,quorum,surplus,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
progress-aware-quorum-delay,40,36,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,37,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,38,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,39,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,40,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,41,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,42,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,43,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,44,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,45,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,46,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,47,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,48,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,49,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,50,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,60,1,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,2,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,3,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,4,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,5,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,6,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,7,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,8,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,9,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,10,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,11,25,13,12,100,161,0,1,0,0,false,false
