scheduler,n,quorum,surplus,seed,k,p,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
prob-interleaved-uniform-budget-delay,25,13,12,86,120,0.2,100,130,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,87,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,88,120,0.2,100,121,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,89,120,0.2,100,129,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,90,120,0.2,100,133,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,91,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,92,120,0.2,100,118,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,93,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,94,120,0.2,100,132,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,95,120,0.2,100,131,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,96,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,97,120,0.2,100,121,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,98,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,99,120,0.2,100,132,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,100,120,0.2,100,117,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,101,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,102,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,103,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,104,120,0.2,100,133,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,105,120,0.2,100,116,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,106,120,0.2,100,135,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,107,120,0.2,100,126,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,108,120,0.2,100,129,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,109,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,110,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,111,120,0.2,100,133,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,112,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,113,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,114,120,0.2,100,143,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,115,120,0.2,100,130,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,116,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,117,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,118,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,119,120,0.2,100,140,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,120,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,121,120,0.2,100,122,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,122,120,0.2,100,130,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,123,120,0.2,100,131,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,124,120,0.2,100,119,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,125,120,0.2,100,119,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,126,120,0.2,100,122,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,127,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,128,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,129,120,0.2,100,130,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,130,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,131,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,132,120,0.2,100,119,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,133,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,134,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,135,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,136,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,137,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,138,120,0.2,100,129,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,139,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,140,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,141,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,142,120,0.2,100,131,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,143,120,0.2,100,119,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,144,120,0.2,100,131,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,145,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,146,120,0.2,100,113,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,147,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,148,120,0.2,100,121,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,149,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,150,120,0.2,100,135,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,151,120,0.2,100,126,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,152,120,0.2,100,131,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,153,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,154,120,0.2,100,130,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,155,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,156,120,0.2,100,130,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,157,120,0.2,100,122,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,158,120,0.2,100,122,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,159,120,0.2,100,138,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,160,120,0.2,100,121,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,161,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,162,120,0.2,100,122,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,163,120,0.2,100,134,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,164,120,0.2,100,131,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,165,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,166,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,167,120,0.2,100,129,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,168,120,0.2,100,123,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,169,120,0.2,100,129,0,1,0,0,false,false
